Correios Empresas - Relatorio de objetos postados

NOME EMPRESA;CNPJ;CONTRATO;DATA POSTAGEM
GREE ELETRIC APPLIANCES DO BRASIL LTDA;03.519.135/0001-56;9912589322;06/08/2026

NUMERO DO OBJETO;DATA PREVISTA;DATA ULTIMO EVENTO;ULTIMO STATUS
AD763366143BR;12/08/2026 23:59:59;11/08/2026 09:57:00;Objeto entregue ao destinatario
AD763445963BR;12/08/2026 23:59:59;11/08/2026 10:28:33;Objeto entregue ao destinatario
AD763505976BR;12/08/2026 23:59:59;10/08/2026 13:37:45;Objeto entregue ao destinatario
AD763537280BR;10/08/2026 23:59:59;10/08/2026 17:45:06;Objeto entregue ao destinatario
AD763681998BR;14/08/2026 23:59:59;10/08/2026 14:42:16;Objeto entregue ao destinatario
AD763769598BR;12/08/2026 23:59:59;10/08/2026 10:13:58;Objeto entregue ao destinatario
AD763813257BR;13/08/2026 23:59:59;10/08/2026 10:13:10;Objeto entregue ao destinatario
AD763869018BR;12/08/2026 23:59:59;10/08/2026 16:05:06;Objeto entregue ao destinatario
AD763882270BR;12/08/2026 23:59:59;10/08/2026 16:05:06;Objeto entregue ao destinatario
AD763909074BR;13/08/2026 23:59:59;10/08/2026 16:01:04;Objeto entregue ao destinatario
AD763930253BR;15/08/2026 23:59:59;10/08/2026 16:16:31;Objeto entregue ao destinatario
AD764004070BR;12/08/2026 23:59:59;10/08/2026 16:21:28;Objeto entregue ao destinatario
AD765117722BR;11/08/2026 23:59:59;11/08/2026 15:58:47;Objeto entregue ao destinatario
MG108339821BR;06/08/2026 12:00:00;06/08/2026 13:04:21;Objeto entregue ao destinatario
MG108339835BR;06/08/2026 12:00:00;06/08/2026 14:53:57;Objeto entregue ao destinatario
MG108339849BR;06/08/2026 17:15:28;07/08/2026 09:27:46;Objeto entregue ao destinatario
MG108340612BR;06/08/2026 12:00:00;06/08/2026 14:16:22;Objeto entregue ao destinatario
MG108340626BR;06/08/2026 12:00:00;06/08/2026 14:53:57;Objeto entregue ao destinatario
MG108341017BR;06/08/2026 12:00:00;07/08/2026 11:01:37;Objeto entregue ao destinatario
MG108341025BR;06/08/2026 12:00:00;06/08/2026 14:53:57;Objeto entregue ao destinatario
MG108341697BR;06/08/2026 12:00:00;06/08/2026 14:53:57;Objeto entregue ao destinatario
MG108343517BR;06/08/2026 12:00:00;06/08/2026 11:14:14;Objeto entregue ao destinatario
MG108343525BR;06/08/2026 12:00:00;06/08/2026 14:53:57;Objeto entregue ao destinatario
MG108343534BR;06/08/2026 15:20:53;07/08/2026 09:27:46;Objeto entregue ao destinatario
MG108341683BR;06/08/2026 12:00:00;10/08/2026 13:52:13;Objeto nao entregue - Endereco inexistente
AD763614772BR;13/08/2026 23:59:59;11/08/2026 19:50:43;Objeto em transferencia - por favor aguarde
AD763851873BR;19/08/2026 23:59:59;10/08/2026 09:30:51;Objeto em transferencia - por favor aguarde
AD763859364BR;19/08/2026 23:59:59;10/08/2026 09:30:51;Objeto em transferencia - por favor aguarde
AD763344029BR;14/08/2026 23:59:59;11/08/2026 16:38:24;Objeto aguardando retirada no endereco indicado
AD763356353BR;14/08/2026 23:59:59;07/08/2026 15:19:44;Objeto em transferencia - por favor aguarde
AD763382061BR;14/08/2026 23:59:59;10/08/2026 20:29:58;Objeto em transferencia - por favor aguarde
AD763478048BR;14/08/2026 23:59:59;07/08/2026 15:28:39;Objeto em transferencia - por favor aguarde
AD763597204BR;13/08/2026 23:59:59;07/08/2026 15:19:44;Objeto em transferencia - por favor aguarde
AD763648351BR;13/08/2026 23:59:59;11/08/2026 08:26:05;Objeto em transferencia - por favor aguarde
AD763710005BR;12/08/2026 23:59:59;07/08/2026 15:29:55;Objeto em transferencia - por favor aguarde
AD763725549BR;14/08/2026 23:59:59;07/08/2026 15:28:39;Objeto em transferencia - por favor aguarde
AD763740965BR;14/08/2026 23:59:59;07/08/2026 15:28:39;Objeto em transferencia - por favor aguarde
AD763786070BR;12/08/2026 23:59:59;07/08/2026 15:29:55;Objeto em transferencia - por favor aguarde
AD763797625BR;12/08/2026 23:59:59;07/08/2026 15:29:55;Objeto em transferencia - por favor aguarde
AD763822435BR;12/08/2026 23:59:59;07/08/2026 15:29:55;Objeto em transferencia - por favor aguarde
AD763831701BR;12/08/2026 23:59:59;07/08/2026 15:29:55;Objeto em transferencia - por favor aguarde
AD763837085BR;12/08/2026 23:59:59;07/08/2026 15:29:55;Objeto em transferencia - por favor aguarde
AD764012779BR;14/08/2026 23:59:59;07/08/2026 15:31:39;Objeto em transferencia - por favor aguarde
AD765045518BR;18/08/2026 23:59:59;11/08/2026 10:47:28;Objeto em transferencia - por favor aguarde
